TAID,Pubchem CID,IUPAC Name,SMILES,Canonical SMILES,InChIKey,mouse_intraperitoneal_LD50,mammal (species unspecified)_intraperitoneal_LD50,guinea pig_intraperitoneal_LD50,rat_intraperitoneal_LD50,rabbit_intraperitoneal_LD50,mouse_intraperitoneal_LDLo,rat_intraperitoneal_LDLo,mouse_intravenous_LD50,guinea pig_intravenous_LD50,rat_intravenous_LD50,rabbit_intravenous_LD50,dog_intravenous_LD50,cat_intravenous_LD50,mouse_intravenous_LDLo,guinea pig_intravenous_LDLo,rat_intravenous_LDLo,rabbit_intravenous_LDLo,dog_intravenous_LDLo,cat_intravenous_LDLo,mouse_oral_LD50,mammal (species unspecified)_oral_LD50,guinea pig_oral_LD50,rat_oral_LD50,rabbit_oral_LD50,dog_oral_LD50,cat_oral_LD50,bird-wild_oral_LD50,quail_oral_LD50,duck_oral_LD50,chicken_oral_LD50,mouse_oral_LDLo,rat_oral_LDLo,rabbit_oral_LDLo,dog_oral_LDLo,cat_oral_LDLo,man_oral_TDLo,women_oral_TDLo,human_oral_TDLo,mouse_unreported_LD50,mammal (species unspecified)_unreported_LD50,rat_unreported_LD50,mouse_skin_LD50,guinea pig_skin_LD50,rat_skin_LD50,rabbit_skin_LD50,rabbit_skin_LDLo,mouse_subcutaneous_LD50,mammal (species unspecified)_subcutaneous_LD50,guinea pig_subcutaneous_LD50,rat_subcutaneous_LD50,rabbit_subcutaneous_LD50,mouse_subcutaneous_LDLo,guinea pig_subcutaneous_LDLo,rat_subcutaneous_LDLo,rabbit_subcutaneous_LDLo,frog_subcutaneous_LDLo,mouse_intramuscular_LD50,rat_intramuscular_LD50,mouse_parenteral_LD50
TOX-1288,65036,3-prop-2-enylsulfinylsulfanylprop-1-ene,C=CCSS(=O)CC=C,C=CCSS(=O)CC=C,JDLKFOPOAOFWQN-UHFFFAOYSA-N,,,,,,,,60.00776447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0155287,,,,,,,,,,,,
TOX-1289,11092,1-(2-hydroxy-4-methoxyphenyl)ethanone,COc1ccc(C(C)=O)c(O)c1,COc1ccc(C(C)=O)c(O)c1,UILPJVPSNHJFIK-UHFFFAOYSA-N,780.971801,,,,,,,195.992923,,,,,,,,,,,,489.9823078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1292,219402,"2-(3,4-dihydroxy-5-oxooxolan-2-yl)-2-hydroxyacetaldehyde",O=CC(O)C1OC(=O)C(O)C1O,O=CC(O)C1OC(=O)C(O)C1O,UYUXSRADSPPKRZ-UHFFFAOYSA-N,5796.868342,,,,,,,4585.895845,,3199.927324,939.9786507,939.9786507,,,,,,,,19999.54576,,,10699.75698,,,,,,,,,,,,,,,,,,,,,,,,8209.813543,,,4699.893261,4699.893261,,,,,,,,
TOX-1293,5281416,"6,7-dihydroxychromen-2-one",O=c1ccc2cc(O)c(O)cc2o1,O=c1ccc2cc(O)c(O)cc2o1,ILEDWLMCKZNDJK-UHFFFAOYSA-N,1499.974738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1295,62368,3-butylidene-2-benzofuran-1-one,CCCC=C1OC(=O)c2ccccc21,CCCC=C1OC(=O)c2ccccc21,WMBOCUXXNSOQHM-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,1849.941027,,,,,,,,,,,,,,,,,,,,,,4999.840615,,,,,,,,,,,,,,
TOX-1297,5280460,7-hydroxy-6-methoxychromen-2-one,COc1cc2ccc(=O)oc2cc1O,COc1cc2ccc(=O)oc2cc1O,RODXRVNMMDRFIK-UHFFFAOYSA-N,,,,,,,,349.9999998,,,,,,,,,,,,,,,3799.999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1298,709,3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid,COc1cc(C=CC(=O)O)ccc1O,COc1cc(C=CC(=O)O)ccc1O,KSEBMYQBYZTDHS-UHFFFAOYSA-N,193.9940057,,,,,,,856.9735202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1301,13250,"ethyl 3,4,5-trihydroxybenzoate",CCOC(=O)c1cc(O)c(O)c(O)c1,CCOC(=O)c1cc(O)c(O)c(O)c1,VFPFQHQNJCMNBZ-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,5809.882729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1307,10583,"1-ethenyl-1-methyl-2,4-bis(prop-1-en-2-yl)cyclohexane",C=CC1(C)CCC(C(=C)C)CC1C(=C)C,C=CC1(C)CCC(C(=C)C)CC1C(=C)C,OPFTUNCRGUEPRZ-UHFFFAOYSA-N,278.9904434,,,,,,,269.9907517,,,,,,,,,,,,4999.828733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1310,5318565,"7-hydroxy-6,8-dimethoxychromen-2-one",COc1cc2ccc(=O)oc2c(OC)c1O,COc1cc2ccc(=O)oc2c(OC)c1O,HOEVRHHMDJKUMZ-UHFFFAOYSA-N,,,,,,,,499.9864985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1311,896,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,DRLFMBDRBRZALE-UHFFFAOYSA-N,1374.982242,,,1130.985392,,,,179.9976754,,355.9954025,,,,,,,,,,1249.983857,,,3199.958672,,,,,,,,,,,,,,,,,,,,,,,,1599.979335,,,1599.979335,,,,,,,,,
TOX-1318,5281708,7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,1999.992135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1321,425,"1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one",O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,DXDRHHKMWQZJHT-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.9829005,,,,,,,,,,,,,,,,,,,
TOX-1326,2240,"1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-one",CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,BLUAFEHZUWYNDE-UHFFFAOYSA-N,1557.966891,,,,,,,,,,,,,,,,,,,4227.910149,,,5575.881509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2799.940498,2570.945362,
TOX-1337,3473,5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,NLDDIKRKFXEWBK-UHFFFAOYSA-N,58.10177626,,,,,,,25.5007796,,,,,,,,,,,,250.007643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1338,3218,"2,5-dihydroxy-3-undecylcyclohexa-2,5-diene-1,4-dione",CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,IRSFLDGTOHBADP-UHFFFAOYSA-N,,44.00134518,,,,,,,,,,,,,,,,,,2000.061144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1340,145386,"3,7,11,15-tetramethylhexadec-2-en-1-ol",CC(=CCO)CCCC(C)CCCC(C)CCCC(C)C,CC(=CCO)CCCC(C)CCCC(C)CCCC(C)C,BOTWFXYSPFMFNR-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,4999.342418,,,,,,,,,,,,,,,,,,,,,,4999.342418,,,,,,,,,,,,,,
TOX-1342,5538,"3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,SHGAZHPCJJPHSC-UHFFFAOYSA-N,158.2024192,,,,,,,91.98713895,,74.98951544,,,,,,,,,,2328.723315,,,3174.358285,1959.726004,,,,,,,,,,,,,,,,,,,,,,,252.9646322,,,52.99259089,,,,,,,,,
TOX-1343,471,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-2,3-dihydrochromen-4-one",O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,CXQWRCVTCMQVQX-UHFFFAOYSA-N,984.9870505,,,1199.984222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1345,2198,(6-hydroxy-8-methyl-8-azabicyclo[3.2.1]octan-3-yl) 3-hydroxy-2-phenylpropanoate,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,WTQYWNWRJNXDEG-UHFFFAOYSA-N,350.0297999,,,,,,,123.0104725,,,,,,,,,,,,1600.136227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1346,2548,N-[(4-hydroxy-3-methoxyphenyl)methyl]-8-methylnon-6-enamide,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,YKPUWZUDDOIDPM-UHFFFAOYSA-N,12.74679751,,1.09993517,9.499440103,49.99705317,,,0.399976425,,,,,,,,,,,1.599905704,47.19721827,,,,,,,,,,,,,,,,,,,,,,511.9698249,,,,,8.999469589,,,,,,,,,,7.799540306,,
TOX-1351,5281654,"3,5,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)chromen-4-one",COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,IZQSVPBOUDKVDZ-UHFFFAOYSA-N,,,,,,,,,,11099.82451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1358,159287,"2-(4-hydroxy-3,5-dimethoxyphenyl)chromenylium-3,5,7-triol",COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,KZMACGJDUUWFCH-UHFFFAOYSA-O,4110,,,2349.999998,,,,,,240.0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1366,3576890,"9,10,15,18-tetrahydroxy-12,12-dimethyl-6-methylidene-17-oxapentacyclo[7.6.2.15,8.01,11.02,8]octadecan-7-one",C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,SDHTXBWLVGWJFT-UHFFFAOYSA-N,34.99635057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1371,124327,"2-heptadec-10-enyl-6-methoxycyclohexa-2,5-diene-1,4-dione",CCCCCCC=CCCCCCCCCCC1=CC(=O)C=C(OC)C1=O,CCCCCCC=CCCCCCCCCCC1=CC(=O)C=C(OC)C1=O,YYCCUFKHCNSRIA-UHFFFAOYSA-N,25.40237343,,,,,,,,,,,,,,,,,,,2821.185429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1374,105031,"4-oxo-4-[(1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl)oxy]butanoic acid",CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4,CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4,FIHJKUPKCHIPAT-UHFFFAOYSA-N,,,,,,,,519.9661837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.9715154,,,,,,,474.9691102,,
TOX-1375,2735,"3-[2-[7a-methyl-1-(6-methylheptan-2-yl)-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol",C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,QYSXJUFSXHHAJI-UHFFFAOYSA-N,135.9830287,,,,,,,,,,,,,,,,,,,42.49469641,,,41.99475887,,79.99001678,,,,1999.750421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1379,220520,"10,11-dimethoxy-4a,5,5a,7,8,13a,15,15a,15b,16-decahydro-2H-4,6-methanoindolo[3,2,1-ij]oxepino[2,3,4-de]pyrrolo[2,3-h]quinolin-14-one",COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,RRKTZKIUPZVBMF-UHFFFAOYSA-N,62.00455794,,,91.00668992,,,,12.00088219,,,,,,,120.0088219,,30.00220551,8.00058813,,150.0110274,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00441092,,,,,,,,,,,,
TOX-1385,634470,"3,4,5,19-tetramethoxy-9,10-dimethyl-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaen-9-ol",COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)CC(C)C(C)(O)C2,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)CC(C)C(C)(O)C2,ZWRRJEICIPUPHZ-UHFFFAOYSA-N,390.0280931,,,,,,,,,,,,,,,,,,,777.0559706,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0360165,,,,,,,,,,,,
TOX-1389,5358385,"1,3,6,7-tetrahydroxy-2-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]xanthen-9-one",O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,AEDDIBAIWPIIBD-UHFFFAOYSA-N,,,,364.9637022,,,,,,,,,,,,,,,,2.299771276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1396,135444779,2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,OVBPIULPVIDEAO-UHFFFAOYSA-N,84.99922967,,,,,,,421.827897,122.9622949,512.8306091,420.3650762,,,,,,,,,9999.90939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.9981875,,,,,,,
TOX-1403,633297,"[14,16-dihydroxy-7,11-dimethyl-6-(6-oxopyran-3-yl)-3-oxapentacyclo[8.8.0.02,4.02,7.011,16]octadecan-5-yl] acetate",CC(=O)OC1C(c2ccc(=O)oc2)C2(C)CCC3C(CCC4(O)CC(O)CCC34C)C23OC13,CC(=O)OC1C(c2ccc(=O)oc2)C2(C)CCC3C(CCC4(O)CC(O)CCC34C)C23OC13,KBKUJJFDSHBPPA-UHFFFAOYSA-N,,,,,,,,5.149427216,,,,,0.199977756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1410,425990,"[6-hydroxy-8-methyl-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-9,10-dioxatetracyclo[4.3.1.02,5.03,8]decan-2-yl]methyl benzoate",CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(CO)C(O)C(O)C1O,CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(CO)C(O)C(O)C1O,YKRGDOXKVOZESV-UHFFFAOYSA-N,3530.249799,,,,,,,9530.674382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1414,417761,"11-ethyl-6,16,18-trimethoxy-13-(methoxymethyl)-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecane-4,5,7,8,14-pentol",CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C23)C14,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C23)C14,SQMGCPHFHQGPIF-UHFFFAOYSA-N,,,,,,,,116.9997659,274.9994497,,,,399.999199,,,373.9992512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1443,360849,"22,33-dimethoxy-13,28-dimethyl-2,5,7,20-tetraoxa-13,28-diazaoctacyclo[25.6.2.216,19.13,10.121,25.04,8.031,35.014,39]nonatriaconta-1(33),3(39),4(8),9,16(38),17,19(37),21,23,25(36),31,34-dodecaene",COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C,YVPXVXANRNDGTA-UHFFFAOYSA-N,124.9960854,,,154.9951461,,,,43.49863771,,56.99821497,,,,,,,,,,1899.940498,,,1999.937367,,,,,,,,,,,,,,,,,,,,,,,,99.99686829,,,99.99686829,,,,,,,,,
TOX-1445,75055024,"[2-(3,4-dihydroxyphenyl)-6-(hydroxymethyl)-8-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-3,4a,6,7,8,8a-hexahydro-2H-pyrano[2,3-b][1,4]dioxin-7-yl] 3-(3,4-dihydroxyphenyl)prop-2-enoate",CC1OC(OC2C(OC(=O)C=Cc3ccc(O)c(O)c3)C(CO)OC3OCC(c4ccc(O)c(O)c4)OC32)C(O)C(O)C1O,CC1OC(OC2C(OC(=O)C=Cc3ccc(O)c(O)c3)C(CO)OC3OCC(c4ccc(O)c(O)c4)OC32)C(O)C(O)C1O,FPOYEEKZOOLVJA-UHFFFAOYSA-N,5000.192753,,,5000.192753,,,,,,,,,,,,,,,,5000.192753,,,5000.192753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1451,2443,"5-bromo-N-[2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,OZVBMTJYIDMWIL-UHFFFAOYSA-N,,,,,,,,,,71.9993401,11.99989,,,,,,,,,799.9926667,,,,999.9908334,,,,,,,,,,,,,,,199.9981668,,,,,,,,,,,,,,,,,,,,
TOX-1459,301265,"[6-hydroxy-6-[16-hydroxy-4,4,9,13,14-pentamethyl-3,11-dioxo-2-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-8,10,12,15,16,17-hexahydro-7H-cyclopenta[a]phenanthren-17-yl]-2-methyl-5-oxohept-3-en-2-yl] acetate",CC(=O)OC(C)(C)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(OC5OC(CO)C(O)C(O)C5O)C(=O)C4(C)C)C3(C)C(=O)CC12C,CC(=O)OC(C)(C)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(OC5OC(CO)C(O)C(O)C5O)C(=O)C4(C)C)C3(C)C(=O)CC12C,QKEJRKXVLGOJMB-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,39.99794109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOX-1464,5360237,"2-[3,4-bis(2-hydroxyethoxy)phenyl]-5-hydroxy-7-(2-hydroxyethoxy)-3-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxychromen-4-one",CC1OC(OCC2OC(Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,CC1OC(OCC2OC(Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,IYVFNTXFRYQLRP-UHFFFAOYSA-N,,,,27160.73141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
